env|obs|distract,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Goal|img|no,0.7759999996423721,0.6973333326478799,0.4780000023543834,0.6200000001490116,0.6340000014007091,0.7080000010132789,0.0523067863673169,0.06997142147072791,0.09035485577271057,0.07768883732785035,0.06303790645085913,0.057904134565675155
Goal|img|yes,0.6919999991357326,0.5960000053048135,0.520000001490116,0.5220000006258487,0.03000000074505806,0.6200000040233136,0.07608182605599251,0.08207313728084999,0.07130529003767141,0.06171259470499182,0.014681810762906684,0.07854227347776183
Object|img|no,0.7259999991953372,0.7070000018179416,0.47400000005960463,0.5659999968111515,0.7439999999105931,0.7180000005662441,0.06225752799402505,0.06454627870596022,0.06825116920168367,0.07848849753211205,0.04851574660303206,0.0674256783396049
Object|img|yes,0.6459999985992908,0.5411111156973575,0.49600000500679026,0.466000000834465,0.008000000119209288,0.5400000035762786,0.02952211915511241,0.04905904738724599,0.047403702873882084,0.04657610275506505,0.003265986372377892,0.04835057112630312
Spatial|img|no,0.5960000020265579,0.6120000018179417,0.352000003606081,0.3760000030696392,0.5199999989569187,0.5379999978840352,0.06888315355298366,0.09391248836533905,0.07358743837184539,0.07971058806487215,0.07888106322473318,0.07690975848636007
Spatial|img|yes,0.5160000011324883,0.45600000381469724,0.3540000058710575,0.3380000001192093,0.04400000095367431,0.4880000016093254,0.07687218664185155,0.08021083294974041,0.06934935772253535,0.09064950750262404,0.015143755980643655,0.08835282690742509
