env,distract,method,task_id,mean_success,stderr_success,num_seeds
goal,False,cardpol,0,0.7400000095367432,0.039999999105930745,5
goal,False,cardpol,1,1.0,0.0,5
goal,False,cardpol,2,0.7599999964237213,0.10295629932571683,5
goal,False,cardpol,3,0.4800000011920929,0.06633249185338315,5
goal,False,cardpol,4,0.8599999904632568,0.05099019443456236,5
goal,False,cardpol,5,0.8,0.05477224704470123,5
goal,False,cardpol,6,0.899999988079071,0.03162277471682027,5
goal,False,cardpol,7,0.9399999976158142,0.060000002384185784,5
goal,False,cardpol,8,0.7400000095367432,0.039999999105930745,5
goal,False,cardpol,9,0.5400000035762786,0.09273618360521696,5
goal,False,curl,0,0.5599999964237213,0.10770328972307337,5
goal,False,curl,1,1.0,0.0,5
goal,False,curl,2,0.6799999952316285,0.1772004503230408,5
goal,False,curl,3,0.44000001102685926,0.1208304620914129,5
goal,False,curl,4,0.6,0.09999999403953572,5
goal,False,curl,5,0.5199999988079071,0.04898979193564424,5
goal,False,curl,6,0.5000000119209289,0.08944272043279201,5
goal,False,curl,7,0.9799999952316284,0.020000004768371583,5
goal,False,curl,8,0.580000002682209,0.17146427872718195,5
goal,False,curl,9,0.480000002682209,0.13564659602637727,5
goal,False,icvf,0,0.7599999964237213,0.11224971597461444,5
goal,False,icvf,1,0.8600000023841858,0.09797958934632474,5
goal,False,icvf,2,0.3999999985098839,0.1870828671483206,5
goal,False,icvf,3,0.6000000089406967,0.12649110829159954,5
goal,False,icvf,4,0.8,0.08366600122858425,5
goal,False,icvf,5,0.8199999988079071,0.11135528516906508,5
goal,False,icvf,6,0.7799999952316284,0.058309511384090254,5
goal,False,icvf,7,0.9799999952316284,0.020000004768371583,5
goal,False,icvf,8,0.620000010728836,0.06633249499839187,5
goal,False,icvf,9,0.4600000038743019,0.10295630120724414,5
goal,False,vae,0,0.8399999976158142,0.08124038067142061,5
goal,False,vae,1,0.4399999976158142,0.21587032852242932,5
goal,False,vae,2,0.4199999988079071,0.1319090564648839,5
goal,False,vae,3,0.0,0.0,5
goal,False,vae,4,0.419999997317791,0.13928387821431845,5
goal,False,vae,5,0.3800000071525574,0.10677078453000832,5
goal,False,vae,6,0.5400000095367432,0.11224972181561842,5
goal,False,vae,7,1.0,0.0,5
goal,False,vae,8,0.5400000095367432,0.16000000089406977,5
goal,False,vae,9,0.20000000596046444,0.054772257926970505,5
goal,False,vip,0,0.6800000011920929,0.08602324823593108,5
goal,False,vip,1,0.8799999952316284,0.037416570044537356,5
goal,False,vip,2,0.7799999952316284,0.0860232517003806,5
goal,False,vip,3,0.43333334227403003,0.18559214730109672,3
goal,False,vip,4,0.6400000005960464,0.12083045672686751,5
goal,False,vip,5,0.6600000023841858,0.05099019443456236,5
goal,False,vip,6,0.7399999976158143,0.08124038507351516,5
goal,False,vip,7,1.0,0.0,5
goal,False,vip,8,0.899999988079071,0.03162277471682027,5
goal,False,vip,9,0.2600000038743019,0.09273618553341713,5
goal,False,vqvae,0,0.8399999976158142,0.05099019443456236,5
goal,False,vqvae,1,0.6199999958276748,0.21540659044527455,5
goal,False,vqvae,2,0.5600000113248825,0.11661903989021793,5
goal,False,vqvae,3,0.44000000357627866,0.16309506371826568,5
goal,False,vqvae,4,0.5800000011920929,0.09695359475070432,5
goal,False,vqvae,5,0.5600000023841858,0.06782329666749178,5
goal,False,vqvae,6,0.7,0.05477225792697072,5
goal,False,vqvae,7,1.0,0.0,5
goal,False,vqvae,8,0.799999988079071,0.06324554472147804,5
goal,False,vqvae,9,0.10000000149011609,0.04472136021639597,5
goal,True,cardpol,0,0.6600000023841858,0.02449488866777382,5
goal,True,cardpol,1,0.9799999952316284,0.020000004768371583,5
goal,True,cardpol,2,0.44000000357627866,0.1288409865270565,5
goal,True,cardpol,3,0.3600000023841858,0.06782329930395917,5
goal,True,cardpol,4,0.8799999833106995,0.04898979558566862,5
goal,True,cardpol,5,0.6800000071525574,0.037416570044537356,5
goal,True,cardpol,6,0.8399999856948852,0.06000000039736446,5
goal,True,cardpol,7,1.0,0.0,5
goal,True,cardpol,8,0.720000010728836,0.10198038886912385,5
goal,True,cardpol,9,0.3600000008940697,0.10770329352780313,5
goal,True,curl,0,0.02000000029802322,0.020000000298023218,5
goal,True,curl,1,0.0,0.0,5
goal,True,curl,2,0.0,0.0,5
goal,True,curl,3,0.0,0.0,5
goal,True,curl,4,0.0,0.0,5
goal,True,curl,5,0.080000002682209,0.05830952122287297,5
goal,True,curl,6,0.04000000059604644,0.040000000596046435,5
goal,True,curl,7,0.14000000357627868,0.06000000188748041,5
goal,True,curl,8,0.02000000029802322,0.020000000298023218,5
goal,True,curl,9,0.0,0.0,5
goal,True,icvf,0,0.6400000095367432,0.05099019443456236,5
goal,True,icvf,1,0.9399999856948853,0.02449490326787042,5
goal,True,icvf,2,0.12000000178813933,0.03741657442528981,5
goal,True,icvf,3,0.4200000062584877,0.11575837010920426,5
goal,True,icvf,4,0.7600000023841857,0.050990189758789335,5
goal,True,icvf,5,0.5600000083446502,0.06782330194042689,5
goal,True,icvf,6,0.700000011920929,0.044721356884395436,5
goal,True,icvf,7,0.9,0.044721356884395436,5
goal,True,icvf,8,0.7400000035762787,0.10770329221344214,5
goal,True,icvf,9,0.4200000107288361,0.09165151786619083,5
goal,True,vae,0,0.7600000023841857,0.08124037773669077,5
goal,True,vae,1,0.6799999982118606,0.15297058486227672,5
goal,True,vae,2,0.5599999889731407,0.17204649963317178,5
goal,True,vae,3,0.14000000357627868,0.05099019706468422,5
goal,True,vae,4,0.5800000011920929,0.09695359475070432,5
goal,True,vae,5,0.4400000095367432,0.08717797640944984,5
goal,True,vae,6,0.5800000071525574,0.0734846887145832,5
goal,True,vae,7,0.8400000005960464,0.1599999994039535,5
goal,True,vae,8,0.4200000002980232,0.15297058447262907,5
goal,True,vae,9,0.20000000298023224,0.09486833043333952,5
goal,True,vip,0,0.6799999952316285,0.04898979558566862,5
goal,True,vip,1,0.9200000047683716,0.04898979193564424,5
goal,True,vip,2,0.5000000074505806,0.17320508333784457,4
goal,True,vip,3,0.2800000086426735,0.08602325681044355,5
goal,True,vip,4,0.5600000143051147,0.07483314964708028,5
goal,True,vip,5,0.5200000107288361,0.03741657800954254,5
