env|obs|distract,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Goal|img|no,0.773999996483326,0.6639999997119108,0.5080000023543835,0.5740000028908253,0.657999999821186,0.7479999996721743,0.053170583590905124,0.08757472869642752,0.07056596543747205,0.07423985053606202,0.07336059977003641,0.05767340897962274
Goal|img|yes,0.6919999991357326,0.5960000053048135,0.520000001490116,0.5220000006258487,0.03000000074505806,0.6583333378036816,0.07608182605599251,0.08207313728084999,0.07130529003767141,0.06171259470499182,0.014681810762906684,0.06908127109072332
Object|img|no,0.7119999997317791,0.6510000026971101,0.4920000031590462,0.5180000001192092,0.7320000001788138,0.6914285698107311,0.06903783078876964,0.05536645516511608,0.04572380894388397,0.06242862508660634,0.05821034594774403,0.05270892797851991
Object|img|yes,0.6459999985992908,0.5411111156973575,0.49600000500679026,0.466000000834465,0.008000000119209288,0.5537500030671556,0.02952211915511241,0.04905904738724599,0.047403702873882084,0.04657610275506505,0.003265986372377892,0.046327155030916466
Spatial|img|no,0.5260000030696392,0.5539999958872796,0.3480000038444996,0.3340000033378601,0.528000001013279,,0.0958262314855321,0.09915419921907598,0.054747907860583214,0.057815799788276064,0.08855381118452259,
Spatial|img|yes,0.5160000011324883,0.45600000381469724,0.3540000058710575,0.3380000001192093,0.04400000095367431,,0.07687218664185155,0.08021083294974041,0.06934935772253535,0.09064950750262404,0.015143755980643655,
