env,obs,distract,method,mean_success,stderr_success,num_runs,num_tasks,num_seeds
goal,img,False,cardpol,0.7759999996423721,0.0523067863673169,50,10,5
goal,img,False,curl,0.6340000014007091,0.06303790645085913,50,10,5
goal,img,False,icvf,0.7279999983310699,0.06089699732472468,47,10,5
goal,img,False,vae,0.4780000023543834,0.09035485577271057,50,10,5
goal,img,False,vip,0.6973333326478799,0.06997142147072791,48,10,5
goal,img,False,vqvae,0.6200000001490116,0.07768883732785035,50,10,5
goal,img,True,cardpol,0.6919999991357326,0.07608182605599251,50,10,5
goal,img,True,curl,0.03000000074505806,0.014681810762906684,50,10,5
goal,img,True,icvf,0.6583333378036816,0.06908127109072332,44,9,5
goal,img,True,vae,0.520000001490116,0.07130529003767141,50,10,5
goal,img,True,vip,0.5960000053048135,0.08207313728084999,49,10,5
goal,img,True,vqvae,0.5220000006258487,0.06171259470499182,50,10,5
object,img,False,cardpol,0.7259999991953372,0.06225752799402505,50,10,5
object,img,False,curl,0.7439999999105931,0.04851574660303206,50,10,5
object,img,False,icvf,0.7714285686612129,0.030192128527803327,35,7,5
object,img,False,vae,0.47400000005960463,0.06825116920168367,50,10,5
object,img,False,vip,0.7070000018179416,0.06454627870596022,45,10,5
object,img,False,vqvae,0.5659999968111515,0.07848849753211205,50,10,5
object,img,True,cardpol,0.6459999985992908,0.02952211915511241,50,10,5
object,img,True,curl,0.008000000119209288,0.003265986372377892,50,10,5
object,img,True,icvf,0.5537500030671556,0.046327155030916466,37,8,5
object,img,True,vae,0.49600000500679026,0.047403702873882084,50,10,5
object,img,True,vip,0.5411111156973575,0.04905904738724599,39,9,5
object,img,True,vqvae,0.466000000834465,0.04657610275506505,50,10,5
spatial,img,False,cardpol,0.5960000020265579,0.06888315355298366,50,10,5
spatial,img,False,curl,0.5199999989569187,0.07888106322473318,50,10,5
spatial,img,False,vae,0.352000003606081,0.07358743837184539,50,10,5
spatial,img,False,vip,0.6120000018179417,0.09391248836533905,46,10,5
spatial,img,False,vqvae,0.3760000030696392,0.07971058806487215,50,10,5
spatial,img,True,cardpol,0.5160000011324883,0.07687218664185155,50,10,5
spatial,img,True,curl,0.04400000095367431,0.015143755980643655,50,10,5
spatial,img,True,vae,0.3540000058710575,0.06934935772253535,50,10,5
spatial,img,True,vip,0.45600000381469724,0.08021083294974041,50,10,5
spatial,img,True,vqvae,0.3380000001192093,0.09064950750262404,50,10,5
